"function","file","line"
"api.attendance.clockIn","src/app/features/attendance/attendance.component.ts","715"
"api.attendance.clockIn","src/app/features/dashboard/employee-dashboard.component.ts","1665"
"api.attendance.clockOut","src/app/features/attendance/attendance.component.ts","715"
"api.attendance.clockOut","src/app/features/dashboard/employee-dashboard.component.ts","1665"
"api.attendance.getAttendanceSummary","src/app/features/attendance/attendance.component.ts","681"
"api.attendance.getMyAttendance","src/app/features/attendance/attendance.component.ts","694"
"api.attendance.getTeamAttendance","src/app/features/attendance/team-attendance/team-attendance.component.ts","205"
"api.attendance.getTodayStatus","src/app/features/attendance/attendance.component.ts","527"
"api.attendance.getTodayStatus","src/app/features/dashboard/employee-dashboard.component.ts","1641"
"api.attendance.listHeldTrustEvents","src/app/features/attendance/team-attendance/team-attendance.component.ts","315"
"api.attendance.manualEntry","src/app/features/attendance/team-attendance/manual-entry-modal/manual-entry-modal.component.ts","200"
"api.attendance.reviewHeldTrustEvent","src/app/features/attendance/team-attendance/team-attendance.component.ts","327"
"api.core_hr.createPromotion","src/app/features/core-hr/pages/promotions/promotions.component.ts","302"
"api.core_hr.createPromotion","src/app/features/employees/employee-detail/employee-detail.component.ts","1226"
"api.core_hr.createTransfer","src/app/features/core-hr/pages/transfers/transfers.component.ts","326"
"api.core_hr.createTransfer","src/app/features/employees/employee-detail/employee-detail.component.ts","1237"
"api.core_hr.createTravelRequest","src/app/features/core-hr/pages/travel/travel.component.ts","179"
"api.core_hr.createTravelRequest","src/app/features/employees/employee-detail/employee-detail.component.ts","1294"
"api.core_hr.fileComplaint","src/app/features/core-hr/pages/complaints/complaints.component.ts","179"
"api.core_hr.fileComplaint","src/app/features/employees/employee-detail/employee-detail.component.ts","1305"
"api.core_hr.getAwards","src/app/features/core-hr/pages/awards/awards.component.ts","124"
"api.core_hr.getAwards","src/app/features/employees/employee-detail/employee-detail.component.ts","752"
"api.core_hr.getComplaints","src/app/features/core-hr/pages/complaints/complaints.component.ts","137"
"api.core_hr.getComplaints","src/app/features/employees/employee-detail/employee-detail.component.ts","754"
"api.core_hr.getPromotions","src/app/features/core-hr/pages/promotions/promotions.component.ts","239"
"api.core_hr.getPromotions","src/app/features/employees/employee-detail/employee-detail.component.ts","747"
"api.core_hr.getResignations","src/app/features/core-hr/pages/resignations/resignations.component.ts","172"
"api.core_hr.getResignations","src/app/features/employees/employee-detail/employee-detail.component.ts","749"
"api.core_hr.getTerminations","src/app/features/core-hr/pages/terminations/terminations.component.ts","159"
"api.core_hr.getTerminations","src/app/features/employees/employee-detail/employee-detail.component.ts","750"
"api.core_hr.getTransfers","src/app/features/core-hr/pages/transfers/transfers.component.ts","256"
"api.core_hr.getTransfers","src/app/features/employees/employee-detail/employee-detail.component.ts","748"
"api.core_hr.getTravelRequests","src/app/features/core-hr/pages/travel/travel.component.ts","137"
"api.core_hr.getTravelRequests","src/app/features/employees/employee-detail/employee-detail.component.ts","753"
"api.core_hr.getWarnings","src/app/features/core-hr/pages/warnings/warnings.component.ts","147"
"api.core_hr.getWarnings","src/app/features/employees/employee-detail/employee-detail.component.ts","751"
"api.core_hr.giveAward","src/app/features/core-hr/pages/awards/awards.component.ts","164"
"api.core_hr.giveAward","src/app/features/employees/employee-detail/employee-detail.component.ts","1283"
"api.core_hr.issueWarning","src/app/features/core-hr/pages/warnings/warnings.component.ts","188"
"api.core_hr.issueWarning","src/app/features/employees/employee-detail/employee-detail.component.ts","1272"
"api.core_hr.submitResignation","src/app/features/core-hr/pages/resignations/resignations.component.ts","212"
"api.core_hr.submitResignation","src/app/features/employees/employee-detail/employee-detail.component.ts","1252"
"api.core_hr.terminateEmployee","src/app/features/core-hr/pages/terminations/terminations.component.ts","215"
"api.core_hr.terminateEmployee","src/app/features/employees/employee-detail/employee-detail.component.ts","1262"
"api.core_hr.updateResignationStatus","src/app/features/core-hr/pages/resignations/resignations.component.ts","243"
"api.dashboard.getEmployeeStats","src/app/features/dashboard/employee-dashboard.component.ts","1635"
"api.dashboard.getStats","src/app/features/dashboard/admin-dashboard.component.ts","427"
"api.employee_details.addBankingDetail","src/app/features/employees/employee-detail/employee-detail.component.ts","851"
"api.employee_details.addDocument","src/app/features/employees/employee-detail/employee-detail.component.ts","1054"
"api.employee_details.addEducation","src/app/features/employees/employee-detail/employee-detail.component.ts","1013"
"api.employee_details.addEmergencyContact","src/app/features/employees/employee-detail/employee-detail.component.ts","780"
"api.employee_details.deleteBankingDetail","src/app/features/employees/employee-detail/employee-detail.component.ts","880"
"api.employee_details.deleteDocument","src/app/features/employees/employee-detail/employee-detail.component.ts","1078"
"api.employee_details.deleteEducation","src/app/features/employees/employee-detail/employee-detail.component.ts","1038"
"api.employee_details.deleteEmergencyContact","src/app/features/employees/employee-detail/employee-detail.component.ts","805"
"api.employee_details.generateUploadUrl","src/app/features/recruitment/components/job-detail/job-detail.component.ts","305"
"api.employee_details.getStatutoryInfo","src/app/features/employees/employee-detail/employee-detail.component.ts","759"
"api.employee_details.listBankingDetails","src/app/features/employees/employee-detail/employee-detail.component.ts","758"
"api.employee_details.listDocuments","src/app/features/employees/employee-detail/employee-detail.component.ts","761"
"api.employee_details.listEducation","src/app/features/employees/employee-detail/employee-detail.component.ts","760"
"api.employee_details.listEmergencyContacts","src/app/features/employees/employee-detail/employee-detail.component.ts","757"
"api.employee_details.updateBankingDetail","src/app/features/employees/employee-detail/employee-detail.component.ts","845"
