"function","usage_count","files"
"api.attendance.clockIn","2","src/app/features/attendance/attendance.component.ts;src/app/features/dashboard/employee-dashboard.component.ts"
"api.attendance.clockOut","2","src/app/features/attendance/attendance.component.ts;src/app/features/dashboard/employee-dashboard.component.ts"
"api.attendance.getAttendanceSummary","1","src/app/features/attendance/attendance.component.ts"
"api.attendance.getMyAttendance","1","src/app/features/attendance/attendance.component.ts"
"api.attendance.getTeamAttendance","1","src/app/features/attendance/team-attendance/team-attendance.component.ts"
"api.attendance.getTodayStatus","2","src/app/features/attendance/attendance.component.ts;src/app/features/dashboard/employee-dashboard.component.ts"
"api.attendance.listHeldTrustEvents","1","src/app/features/attendance/team-attendance/team-attendance.component.ts"
"api.attendance.manualEntry","1","src/app/features/attendance/team-attendance/manual-entry-modal/manual-entry-modal.component.ts"
"api.attendance.reviewHeldTrustEvent","1","src/app/features/attendance/team-attendance/team-attendance.component.ts"
"api.core_hr.createPromotion","2","src/app/features/core-hr/pages/promotions/promotions.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.createTransfer","2","src/app/features/core-hr/pages/transfers/transfers.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.createTravelRequest","2","src/app/features/core-hr/pages/travel/travel.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.fileComplaint","2","src/app/features/core-hr/pages/complaints/complaints.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.getAwards","2","src/app/features/core-hr/pages/awards/awards.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.getComplaints","2","src/app/features/core-hr/pages/complaints/complaints.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.getPromotions","2","src/app/features/core-hr/pages/promotions/promotions.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.getResignations","2","src/app/features/core-hr/pages/resignations/resignations.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
"api.core_hr.getTerminations","2","src/app/features/core-hr/pages/terminations/terminations.component.ts;src/app/features/employees/employee-detail/employee-detail.component.ts"
