"module","line","function","kind"
"attendance","811","clockIn","mutation"
"attendance","957","clockOut","mutation"
"attendance","554","getAttendanceSummary","query"
"attendance","479","getMyAttendance","query"
"attendance","507","getTeamAttendance","query"
"attendance","460","getTodayStatus","query"
"attendance","602","getTrustPolicy","query"
"attendance","721","listHeldTrustEvents","query"
"attendance","669","listTrustEvents","query"
"attendance","1099","manualEntry","mutation"
"attendance","763","reviewHeldTrustEvent","mutation"
"attendance","610","upsertTrustPolicy","mutation"
"compliance","100","listAccessReviewAssignments","query"
"compliance","64","listChangeRequestAudit","query"
"compliance","144","previewChangeRequestRetention","query"
"compliance","191","purgeExpiredChangeRequests","mutation"
"core_hr","66","createPromotion","mutation"
"core_hr","152","createTransfer","mutation"
"core_hr","588","createTravelRequest","mutation"
"core_hr","526","fileComplaint","mutation"
"core_hr","425","getAwards","query"
"core_hr","552","getComplaints","query"
"core_hr","27","getPromotions","query"
"core_hr","275","getResignations","query"
"core_hr","491","getTerminations","query"
"core_hr","117","getTransfers","query"
"core_hr","614","getTravelRequests","query"
"core_hr","350","getWarnings","query"
"core_hr","385","giveAward","mutation"
"core_hr","310","issueWarning","mutation"
"core_hr","199","submitResignation","mutation"
"core_hr","460","terminateEmployee","mutation"
"core_hr","238","updateResignationStatus","mutation"
"dashboard","146","getEmployeeStats","query"
"dashboard","19","getStats","query"
"employee_details","167","addBankingDetail","mutation"
"employee_details","399","addDocument","mutation"
"employee_details","265","addEducation","mutation"
"employee_details","68","addEmergencyContact","mutation"
"employee_details","238","deleteBankingDetail","mutation"
"employee_details","432","deleteDocument","mutation"
"employee_details","306","deleteEducation","mutation"
"employee_details","140","deleteEmergencyContact","mutation"
"employee_details","452","generateUploadUrl","mutation"
"employee_details","322","getStatutoryInfo","query"
"employee_details","156","listBankingDetails","query"
"employee_details","382","listDocuments","query"
"employee_details","254","listEducation","query"
"employee_details","57","listEmergencyContacts","query"
"employee_details","202","updateBankingDetail","mutation"
"employee_details","286","updateEducation","mutation"
"employee_details","104","updateEmergencyContact","mutation"
"employee_details","333","upsertStatutoryInfo","mutation"
"employees","158","create","mutation"
"employees","94","get","query"
"employees","370","getMyProfile","query"
"employees","319","getOrgChart","query"
"employees","26","list","query"
"employees","267","remove","mutation"
"employees","220","update","mutation"
"employees","434","updateCompensation","mutation"
"employees","291","updateMyProfile","mutation"
"employees","195","updateStatus","mutation"
"leave_requests","76","create","mutation"
"leave_requests","25","list","query"
"leave_requests","180","updateStatus","mutation"
"notifications","94","clearAll","mutation"
"notifications","150","create","mutation"
"notifications","21","list","query"
"notifications","76","markAllAsRead","mutation"
"notifications","58","markAsRead","mutation"
"notifications","42","unreadCount","query"
"onboarding","165","approveJoinRequest","mutation"
"onboarding","147","cancelJoinRequest","mutation"
"onboarding","114","createJoinRequest","mutation"
"onboarding","265","createOrganizationWithSetup","mutation"
"onboarding","30","getMatchingOrganizations","query"
"onboarding","58","getMyJoinRequests","query"
"onboarding","81","getPendingJoinRequests","query"
"onboarding","13","listOrganizations","query"
"onboarding","220","rejectJoinRequest","mutation"
"operations","108","generateIncidentTemplate","mutation"
"operations","53","listAlertRoutes","query"
"operations","170","listIncidentTemplates","query"
"operations","71","upsertAlertRoute","mutation"
"org_context","12","getOrganizationContext","query"
"org_context","65","setActiveOrganization","mutation"
"organization","41","createDepartment","mutation"
"organization","119","createDesignation","mutation"
"organization","197","createLocation","mutation"
"organization","84","deleteDepartment","mutation"
"organization","162","deleteDesignation","mutation"
"organization","240","deleteLocation","mutation"
"organization","25","listDepartments","query"
"organization","103","listDesignations","query"
"organization","181","listLocations","query"
"organization","60","updateDepartment","mutation"
"organization","138","updateDesignation","mutation"
"organization","216","updateLocation","mutation"
"payroll","678","addCredit","mutation"
"payroll","743","addDebit","mutation"
"payroll","126","createRun","mutation"
"payroll","384","deleteRun","mutation"
"payroll","333","finalizeRun","mutation"
"payroll","653","getEmployeeAdjustments","query"
"payroll","611","getEmployeePayslips","query"
"payroll","551","getMyPayslips","query"
"payroll","580","getPayslip","query"
"payroll","79","getRun","query"
"payroll","100","getRunSlips","query"
"payroll","437","listPendingSensitiveChanges","query"
"payroll","57","listRuns","query"
"payroll","166","processRun","mutation"
"payroll","457","reviewSensitiveChange","mutation"
"payroll","806","toggleAdjustmentStatus","mutation"
"recruitment","104","createJob","mutation"
"recruitment","368","getCandidate","query"
"recruitment","74","getJob","query"
"recruitment","288","listApplications","query"
"recruitment","28","listJobs","query"
"recruitment","203","submitApplication","mutation"
"recruitment","335","updateApplicationStatus","mutation"
"recruitment","162","updateJob","mutation"
"recruitment","140","updateJobStatus","mutation"
"reporting_ops","177","createReportSchedule","mutation"
"reporting_ops","143","getCanonicalMetrics","query"
"reporting_ops","384","listReportDeliveryLogs","query"
"reporting_ops","164","listReportSchedules","query"
"reporting_ops","339","logReportDelivery","mutation"
"reporting_ops","242","runDueReportSchedules","mutation"
"reporting_ops","219","setReportScheduleActive","mutation"
"reports","30","getAttendanceReport","query"
"reports","338","getDepartments","query"
"reports","130","getPayrollReport","query"
"reports","362","getPayrollRuns","query"
"reports","211","getTaxReport","query"
"seed","433","deleteTestOrganization","mutation"
"seed","517","getTestOrgStatus","mutation"
"seed","365","linkAllTestUsers","mutation"
"seed","314","linkTestUserByEmail","mutation"
"seed","182","seedTestOrganization","mutation"
"seed_tax","3","seedKenyaTaxRules","mutation"
"settings","110","createLeavePolicy","mutation"
"settings","183","deleteLeavePolicy","mutation"
"settings","25","getSettings","query"
"settings","89","listLeavePolicies","query"
"settings","209","seedDefaultPolicies","mutation"
"settings","154","updateLeavePolicy","mutation"
"settings","50","updateSettings","mutation"
"super_admin","196","assignUserToOrg","mutation"
"super_admin","88","createOrganization","mutation"
"super_admin","147","getOrganization","query"
"super_admin","60","getSystemStats","query"
"super_admin","19","listOrganizations","query"
"super_admin","219","listPendingUsers","query"
"super_admin","125","updateOrganization","mutation"
"super_admin","109","updateOrganizationStatus","mutation"
"tax_calculator","32","getActiveRules","query"
"tax_calculator","39","getTaxRegion","query"
"training","86","createCourse","mutation"
"training","198","enrollEmployee","mutation"
"training","75","getCourse","query"
"training","169","getCourseEnrollments","query"
"training","144","getMyEnrollments","query"
"training","28","listCourses","query"
"training","115","updateCourse","mutation"
"training","281","updateEnrollment","mutation"
"users","182","createEmployeeForUser","mutation"
"users","64","getUnlinkedEmployees","query"
"users","36","getUnlinkedUsers","query"
"users","105","linkUserToEmployee","mutation"
"users","157","unlinkUser","mutation"
"users","24","viewer","query"
"workflow_engine","121","actOnWorkflowInstance","mutation"
"workflow_engine","37","createWorkflow","mutation"
"workflow_engine","266","getWorkflowTimeline","query"
"workflow_engine","189","listPendingSlaBreaches","query"
"workflow_engine","24","listWorkflows","query"
"workflow_engine","218","processDueEscalations","mutation"
"workflow_engine","78","startWorkflowInstance","mutation"
